M of AlH__27Al-1H__AlHambra,I,v,S,A,gm_a,gm_s,E_f,n_a,dt_a,V_i,V_f,Q_i,Q_f,Ierr,Iref,*,g_i,g_f
50,1,82.63411600000018,5.145812148861424e-26,0.032764,,,3442.9649369999997,,,   X1Sigma+ 2 0,   X1Sigma+ 2 0,            7 e,            6 e,0.00011759251676871279,,,180,156
50,1,85.15880700000002,5.414643541542365e-23,0.018052000000000002,,,1881.3550489999998,,,   X1Sigma+ 1 0,   X1Sigma+ 1 0,            7 e,            6 e,0.0004761050304292111,,,180,156
50,1,91.46258899999975,5.326089368305544e-29,0.075806,,,5030.354475,,,   X1Sigma+ 3 0,   X1Sigma+ 3 0,            8 e,            7 e,0.0008059590560320047,,,204,180
50,1,94.28730700000006,5.081845286476936e-26,0.049976,,,3525.599053,,,   X1Sigma+ 2 0,   X1Sigma+ 2 0,            8 e,            7 e,0.00016026228502052502,,,204,180
50,1,97.13706400000024,5.316823170375583e-23,0.027726,,,1966.5138559999998,,,   X1Sigma+ 1 0,   X1Sigma+ 1 0,            8 e,            7 e,0.0004759464255564906,,,204,180
50,1,100.07357999999999,5.151403774252589e-20,0.010865999999999999,,,351.68897599999997,,,   X1Sigma+ 0 0,   X1Sigma+ 0 0,            8 e,            7 e,0.0001888200201249857,,,204,180
50,1,102.70248999999967,4.7998121971290244e-29,0.10979000000000001,,,5121.817064,,,   X1Sigma+ 3 0,   X1Sigma+ 3 0,            9 e,            8 e,0.0002673013280924732,,,228,204
50,1,105.84382699999969,4.535408346318435e-26,0.072697,,,3619.88636,,,   X1Sigma+ 2 0,   X1Sigma+ 2 0,            9 e,            8 e,0.0001632666530556684,,,228,204
50,1,109.07683599999973,4.7106094299417684e-23,0.040641000000000004,,,2063.65092,,,   X1Sigma+ 1 0,   X1Sigma+ 1 0,            9 e,            8 e,9.924716620639604e-05,,,228,204
50,1,110.41683300000022,4.946776318863888e-32,0.208,,,6670.3664100000005,,,   X1Sigma+ 4 0,   X1Sigma+ 4 0,           10 e,            9 e,0.0007028008252698626,,,252,228
50,1,112.34537400000005,4.5764626771371467e-20,0.016207,,,451.76255599999996,,,   X1Sigma+ 0 0,   X1Sigma+ 0 0,            9 e,            8 e,0.00013096946208945046,,,228,204
50,1,113.83792900000026,3.954246736390237e-29,0.15317,,,5224.5195539999995,,,   X1Sigma+ 3 0,   X1Sigma+ 3 0,           10 e,            9 e,0.0002701740179958095,,,252,228
50,1,117.3544620000007,3.693658765442298e-26,0.10191,,,3725.7301869999997,,,   X1Sigma+ 2 0,   X1Sigma+ 2 0,           10 e,            9 e,0.00012021647141718975,,,252,228
50,1,120.9115740000002,3.8065510570329463e-23,0.057449,,,2172.7277559999998,,,   X1Sigma+ 1 0,   X1Sigma+ 1 0,           10 e,            9 e,0.00011593532679903913,,,252,228
50,1,124.569209,3.704788420717807e-20,0.023343,,,564.10793,,,   X1Sigma+ 0 0,   X1Sigma+ 0 0,           10 e,            9 e,0.00020486336910243374,,,252,228
50,1,124.92132899999979,2.9984023505585027e-29,0.20736,,,5338.357483,,,   X1Sigma+ 3 0,   X1Sigma+ 3 0,           11 e,           10 e,0.00021192923347193045,,,276,252
50,1,128.75387199999977,2.766482731125624e-26,0.13868,,,3843.0846490000004,,,   X1Sigma+ 2 0,   X1Sigma+ 2 0,           11 e,           10 e,0.0004081629576529453,,,276,252
50,1,132.69084399999974,2.824806623454076e-23,0.078888,,,2293.63933,,,   X1Sigma+ 1 0,   X1Sigma+ 1 0,           11 e,           10 e,0.00012822246293064254,,,276,252
50,1,135.88776900000084,2.1055106414145673e-29,0.2739,,,5463.278812,,,   X1Sigma+ 3 0,   X1Sigma+ 3 0,           12 e,           11 e,0.0003762685211388271,,,300,276
50,1,136.67760199999998,2.7539028355900214e-20,0.032698000000000005,,,688.677139,,,   X1Sigma+ 0 0,   X1Sigma+ 0 0,           11 e,           10 e,0.00020982373554962746,,,276,252
50,1,140.09026199999926,1.9157803024131636e-26,0.18422,,,3971.838521,,,   X1Sigma+ 2 0,   X1Sigma+ 2 0,           12 e,           11 e,0.00040946916855851305,,,300,276
50,1,142.32634400000006,1.800820150459918e-32,0.47597,,,7033.707206,,,   X1Sigma+ 4 0,   X1Sigma+ 4 0,           13 e,           12 e,0.0003846920846599265,,,324,300
50,1,144.34867200000053,1.9366918230361676e-23,0.1058,,,2426.3301739999997,,,   X1Sigma+ 1 0,   X1Sigma+ 1 0,           12 e,           11 e,0.0001082312339391915,,,300,276
50,1,146.78367799999978,1.3747368946631933e-29,0.35447,,,5599.166581,,,   X1Sigma+ 3 0,   X1Sigma+ 3 0,           13 e,           12 e,0.00043418083790052267,,,324,300
50,1,148.72129100000006,1.8890757279271294e-20,0.044778,,,825.354741,,,   X1Sigma+ 0 0,   X1Sigma+ 0 0,           12 e,           11 e,0.00013113733259449803,,,300,276
50,1,151.30023900000015,1.2322825081197547e-26,0.23981999999999998,,,4111.928782999999,,,   X1Sigma+ 2 0,   X1Sigma+ 2 0,           13 e,           12 e,0.0001245792920191795,,,324,300
50,1,152.78410600000007,1.1171876409759148e-32,0.6028,,,7176.03355,,,   X1Sigma+ 4 0,   X1Sigma+ 4 0,           14 e,           13 e,0.00038226692245079227,,,348,324
50,1,155.93534099999988,1.2315304071134979e-23,0.13914,,,2570.6788460000002,,,   X1Sigma+ 1 0,   X1Sigma+ 1 0,           13 e,           12 e,9.334880824091972e-05,,,324,300
50,1,157.54776599999968,8.377986153892925e-30,0.45085,,,5745.950259,,,   X1Sigma+ 3 0,   X1Sigma+ 3 0,           14 e,           13 e,0.0003005079033902436,,,348,324
50,1,160.63376099999994,1.2012150893613609e-20,0.060177999999999995,,,974.076032,,,   X1Sigma+ 0 0,   X1Sigma+ 0 0,           13 e,           12 e,0.000129634100452003,,,324,300
50,1,162.4330570000002,7.386302973712929e-27,0.30695,,,4263.2290219999995,,,   X1Sigma+ 2 0,   X1Sigma+ 2 0,           14 e,           13 e,0.0001268108828137396,,,348,324
50,1,163.10585300000002,6.496857810602943e-33,0.752,,,7328.817656,,,   X1Sigma+ 4 0,   X1Sigma+ 4 0,           15 e,           14 e,0.0007402492823367004,,,372,348
50,1,167.3847079999996,7.290954716305532e-24,0.17998,,,2726.614187,,,   X1Sigma+ 1 0,   X1Sigma+ 1 0,           14 e,           13 e,9.121951545584968e-05,,,348,324
50,1,168.23064700000032,4.777786016568784e-30,0.56498,,,5903.498025,,,   X1Sigma+ 3 0,   X1Sigma+ 3 0,           15 e,           14 e,0.00020308126452235812,,,372,348
50,1,172.4651550000001,7.101294860242501e-21,0.079598,,,1134.709793,,,   X1Sigma+ 0 0,   X1Sigma+ 0 0,           14 e,           13 e,0.00037090834447340226,,,348,324
50,1,173.34138900000016,3.549238227592003e-33,0.92596,,,7491.923509,,,   X1Sigma+ 4 0,   X1Sigma+ 4 0,           16 e,           15 e,0.0008274206910635,,,396,372
50,1,173.4224350000004,4.138779173938317e-27,0.38718,,,4425.662079,,,   X1Sigma+ 2 0,   X1Sigma+ 2 0,           15 e,           14 e,0.0001241974234837422,,,372,348
50,1,178.74697200000037,4.0286743357361136e-24,0.22953,,,2893.9988949999997,,,   X1Sigma+ 1 0,   X1Sigma+ 1 0,           15 e,           14 e,0.00013865424623862047,,,372,348
50,1,178.7638280000001,2.5569571713658955e-30,0.69897,,,6071.728672,,,   X1Sigma+ 3 0,   X1Sigma+ 3 0,           16 e,           15 e,0.0001843963123275517,,,396,372
50,1,183.42160199999944,1.826025980288249e-33,1.1272,,,7665.264898,,,   X1Sigma+ 4 0,   X1Sigma+ 4 0,           17 e,           16 e,0.0005438023538014524,,,420,396
50,1,184.1495789999999,3.915007803996461e-21,0.10386,,,1307.174948,,,   X1Sigma+ 0 0,   X1Sigma+ 0 0,           15 e,           14 e,0.000382256458415028,,,372,348
50,1,184.3201650000001,2.172671176989039e-27,0.48228000000000004,,,4599.084514,,,   X1Sigma+ 2 0,   X1Sigma+ 2 0,           16 e,           15 e,0.00011527792503337316,,,396,372
50,1,189.20016399999986,1.2865007783037973e-30,0.85506,,,6250.4925,,,   X1Sigma+ 3 0,   X1Sigma+ 3 0,           17 e,           16 e,0.0004194401029944562,,,420,396
50,1,189.95765299999994,2.0834749718898727e-24,0.28917,,,3072.745867,,,   X1Sigma+ 1 0,   X1Sigma+ 1 0,           16 e,           15 e,0.00016302760502442525,,,396,372
50,1,193.40116399999988,8.860904301405776e-34,1.3583,,,7848.6865,,,   X1Sigma+ 4 0,   X1Sigma+ 4 0,           18 e,           17 e,0.0006303467299827929,,,444,420
50,1,195.06070199999976,1.0711395549046377e-27,0.59417,,,4783.404679,,,   X1Sigma+ 2 0,   X1Sigma+ 2 0,           17 e,           16 e,9.087353850269065e-05,,,420,396
50,1,195.73734200000013,2.0165145892758328e-21,0.1339,,,1491.324527,,,   X1Sigma+ 0 0,   X1Sigma+ 0 0,           16 e,           15 e,0.00022762249449472256,,,396,372
50,1,199.47470899999917,6.09892092578691e-31,1.0357,,,6439.692664,,,   X1Sigma+ 3 0,   X1Sigma+ 3 0,           18 e,           17 e,0.0003848805009350305,,,444,420
50,1,201.06614199999967,1.0102622138350428e-24,0.36043000000000003,,,3262.70352,,,   X1Sigma+ 1 0,   X1Sigma+ 1 0,           17 e,           16 e,0.00016302760502442525,,,420,396
50,1,203.21370900000056,4.064147753011359e-34,1.6222,,,8042.087664,,,   X1Sigma+ 4 0,   X1Sigma+ 4 0,           19 e,           18 e,0.0010145151551356933,,,468,444
50,1,205.69427799999994,4.967200155529008e-28,0.72493,,,4978.465381,,,   X1Sigma+ 2 0,   X1Sigma+ 2 0,           18 e,           17 e,0.00014384018909887458,,,444,420
50,1,207.16265599999997,9.726449207460097e-22,0.17082,,,1687.0618690000001,,,   X1Sigma+ 0 0,   X1Sigma+ 0 0,           17 e,           16 e,0.00029846440323763905,,,420,396
50,1,209.0592860000006,2.7387530977412063e-31,1.2434,,,6639.167372999999,,,   X1Sigma+ 3 0,   X1Sigma+ 3 0,           19 e,           18 e,0.00020259565641938133,,,468,444
50,1,212.00678000000062,4.602568297939655e-25,0.445,,,3463.7696619999997,,,   X1Sigma+ 1 0,   X1Sigma+ 1 0,           18 e,           17 e,0.0003372313745783449,,,444,420
50,1,216.15515200000027,2.1709758494790273e-28,0.87685,,,5184.159659,,,   X1Sigma+ 2 0,   X1Sigma+ 2 0,           19 e,           18 e,0.00040462451729968114,,,468,444
50,1,218.47713599999997,4.399768036201392e-22,0.21588000000000002,,,1894.224525,,,   X1Sigma+ 0 0,   X1Sigma+ 0 0,           18 e,           17 e,0.00029360006811988314,,,444,420
50,1,220.20417200000065,1.1523493048789023e-31,1.481,,,6848.226659,,,   X1Sigma+ 3 0,   X1Sigma+ 3 0,           20 e,           19 e,0.0003583364340951112,,,492,468
50,1,222.83222100000012,1.972885247737057e-25,0.54478,,,3675.7764420000003,,,   X1Sigma+ 1 0,   X1Sigma+ 1 0,           19 e,           18 e,0.00034842072269025557,,,468,444
50,1,226.4977600000002,8.954353757288309e-29,1.0524,,,5400.314811,,,   X1Sigma+ 2 0,   X1Sigma+ 2 0,           20 e,           19 e,0.0003891734831665693,,,492,468
50,1,229.48844499999996,4.616265883131501e-32,1.7515,,,7068.430831000001,,,   X1Sigma+ 3 0,   X1Sigma+ 3 0,           21 e,           20 e,0.0003133895339669147,,,516,492
50,1,229.61396799999966,1.8699158338971425e-22,0.27052,,,2112.701661,,,   X1Sigma+ 0 0,   X1Sigma+ 0 0,           19 e,           18 e,0.0003801907416021595,,,468,444
50,1,231.8184199999996,2.8352371369726184e-35,2.6407,,,8680.640831,,,   X1Sigma+ 4 0,   X1Sigma+ 4 0,           22 e,           21 e,0.0005885108325256213,,,540,516
50,1,233.47690999999895,7.97095024824011e-26,0.66187,,,3898.6086630000004,,,   X1Sigma+ 1 0,   X1Sigma+ 1 0,           20 e,           19 e,0.00022366492796144861,,,492,468
50,1,236.65499199999977,3.4914228184994886e-29,1.2543,,,5626.812571,,,   X1Sigma+ 2 0,   X1Sigma+ 2 0,           21 e,           20 e,0.00020135789033459803,,,516,492
50,1,239.1652869999989,1.751250992425405e-32,2.0579,,,7297.9192760000005,,,   X1Sigma+ 3 0,   X1Sigma+ 3 0,           22 e,           21 e,0.000843595282111037,,,540,516
50,1,240.62595100000044,7.474939860575361e-23,0.33634000000000003,,,2342.3156289999997,,,   X1Sigma+ 0 0,   X1Sigma+ 0 0,           20 e,           19 e,0.0005041765563768312,,,492,468
50,1,243.99106200000097,3.0390631626949374e-26,0.79857,,,4132.085572999999,,,   X1Sigma+ 1 0,   X1Sigma+ 1 0,           21 e,           20 e,0.00034063029812393377,,,516,492
50,1,246.6780719999997,1.288377742337448e-29,1.4854,,,5863.467563,,,   X1Sigma+ 2 0,   X1Sigma+ 2 0,           22 e,           21 e,0.000513701275061684,,,540,516
50,1,248.70307200000025,6.305078470816746e-33,2.4036,,,7537.084562999999,,,   X1Sigma+ 3 0,   X1Sigma+ 3 0,           23 e,           22 e,0.0012466647504441601,,,564,540
50,1,251.44598499999984,2.8152268106264265e-23,0.4152,,,2582.94158,,,   X1Sigma+ 0 0,   X1Sigma+ 0 0,           21 e,           20 e,0.0006178235994197697,,,516,492
50,1,254.31092999999964,1.0951388052279664e-26,0.95741,,,4376.076635,,,   X1Sigma+ 1 0,   X1Sigma+ 1 0,           22 e,           21 e,0.00042214334058468815,,,540,516
50,1,256.5028490000004,4.5063150781867485e-30,1.7488,,,6110.145635,,,   X1Sigma+ 2 0,   X1Sigma+ 2 0,           23 e,           22 e,0.0006178357386878813,,,564,540
50,1,262.1280700000002,9.999748718590326e-24,0.50915,,,2834.387565,,,   X1Sigma+ 0 0,   X1Sigma+ 0 0,           22 e,           21 e,0.000770660106661815,,,540,516
50,1,264.38806999999997,3.736243226569239e-27,1.1412,,,4630.387565,,,   X1Sigma+ 1 0,   X1Sigma+ 1 0,           23 e,           22 e,0.00039953222648492323,,,564,540
50,1,266.084151,1.4963659751996184e-30,2.0478,,,6366.648484,,,   X1Sigma+ 2 0,   X1Sigma+ 2 0,           24 e,           23 e,0.0004906342833516631,,,588,564
50,1,272.6049299999995,3.3547937180951185e-24,0.62049,,,3096.515635,,,   X1Sigma+ 0 0,   X1Sigma+ 0 0,           23 e,           22 e,0.0007133449376003169,,,564,540
50,1,274.55893000000015,1.2062433985636994e-27,1.3528,,,4894.775635,,,   X1Sigma+ 1 0,   X1Sigma+ 1 0,           24 e,           23 e,0.0004093519268306917,,,588,564
50,1,275.75493000000006,4.715854240478214e-31,2.386,,,6632.732635,,,   X1Sigma+ 2 0,   X1Sigma+ 2 0,           25 e,           24 e,0.00046261214856508037,,,612,588
50,1,284.86706999999933,1.4154264507656021e-31,2.7671,,,6908.487565,,,   X1Sigma+ 2 0,   X1Sigma+ 2 0,           26 e,           25 e,0.0010595329159587257,,,636,612
50,1,284.9240699999991,6.447684979603149e-35,4.2508,,,8587.265565,,,   X1Sigma+ 3 0,   X1Sigma+ 3 0,           27 e,           26 e,0.0009950140702522754,,,660,636
50,1,294.16326500000014,4.041595848093828e-32,3.1951,,,7193.354635,,,   X1Sigma+ 2 0,   X1Sigma+ 2 0,           27 e,           26 e,0.0010184326192733619,,,660,636
50,1,302.97340499999973,1.101099963903144e-32,3.6742,,,7487.5179,,,   X1Sigma+ 2 0,   X1Sigma+ 2 0,           28 e,           27 e,0.00022137072977247916,,,684,660
