M of C2H2__12C2-1H2__aCeTY,I,v,S,A,gm_a,gm_s,E_f,n_a,dt_a,V_i,V_f,Q_i,Q_f,Ierr,Iref,*,g_i,g_f
26,1,4998.5020890000005,1.6775256985776013e-36,0.00032085,,,5567.649531,,, 0 3 0 0 0 0 1E1u, 0 1 0 0 0 3 0E1g,  11A1u  1E1g,  10A1g  1E1g,0.0009433981132056604,,,23,21
26,1,4999.221828000001,8.642379917756088e-32,0.00045386,,,3730.6558219999997,,, 0 2 0 0 2 0 1E1u, 0 1 0 0 0 0 0A1g,  18A2u  1E1g,  17A2g  0A2g,0.0008246211251235322,,,111,105
26,1,5000.088127000001,7.20402076571492e-34,1.4974e-07,,,3066.191949,,, 1 1 0 2 0 2 0A2u, 0 0 0 2 0 2 0E2g,  18A2u  0A1g,  18A2g  2E2g,0.0006324555320336758,,,111,111
26,1,5001.257514000001,6.120670403341313e-35,0.00044557,,,5088.788565999999,,, 1 2 0 0 0 0 1E1u, 1 0 0 0 3 0 0E1g,  29A1u  1E1g,  30A1g  1E1g,0.000848528137423857,,,59,61
26,1,5001.899756999999,8.032401443781667e-47,2.3458999999999999e-07,,,8725.700093000001,,, 2 3 0 0 0 0 0A2u, 2 1 0 0 1 0 1E2g,   3A1u  0A2g,   3A1g  2E2g,0.0007280109889280518,,,7,7
26,1,5001.912499,9.475721191053384e-37,0.0001785,,,5564.2391210000005,,, 0 3 0 0 0 0 1E1u, 0 1 0 0 3 0 0E1g,  11A1u  1E1g,  12A1g  1E1g,0.0010630145812734648,,,23,25
26,1,5002.838274999999,7.932708864529745e-34,0.0011184,,,4764.425371,,, 0 3 0 0 0 0 0A2u, 0 1 0 0 2 0 0A1g,  10A2u  0A1g,  11A2g  0A2g,0.0005,,,63,69
26,1,5004.639973,6.098846836797162e-29,3.6676e-05,,,1451.4748220000001,,, 1 1 0 1 0 1 0A2u, 0 0 0 0 0 0 2A1g,   2A2u  0A1g,   1A2g  0A2g,0.0003605551275463989,,,15,9
26,1,5004.824562,7.88463438045302e-32,0.00026466,,,3478.116651,,, 0 2 0 0 2 1 0E1u, 0 1 0 0 0 0 0A1g,   8A2u  1E1g,   9A2g  0A2g,0.0004123105625617661,,,51,57
26,1,5005.968698,4.427951576592719e-32,2.2818e-05,,,3252.49838,,, 1 1 0 2 0 0 2A2u, 0 0 0 0 0 0 4E2g,  18A2u  0A1g,  17A2g  2E2g,0.0008062257748298549,,,111,105
26,1,5006.572047,8.179617791391465e-45,5.1633e-05,,,8709.566663,,, 2 3 0 0 0 0 0A2u, 2 1 0 0 0 0 2A1g,   1A1u  0A2g,   2A1g  0A1g,0.0004242640687119285,,,3,5
26,1,5006.5901570000005,3.24160120426429e-36,0.00019103,,,5511.491893,,, 0 3 0 0 0 0 1E1u, 0 1 0 0 3 0 0E1g,   9A2u  1E1g,  10A2g  1E1g,0.0007211102550927978,,,57,63
26,1,5008.707347,8.206499912846665e-36,1.1271e-05,,,4758.556299,,, 0 3 0 0 0 0 0A2u, 1 0 0 2 0 2 0E2g,  10A2u  0A1g,  11A2g  2E2g,0.0005,,,63,69
26,1,5008.871612000001,3.192354568981913e-48,9.037899999999999e-09,,,8718.728238,,, 2 3 0 0 0 0 0A2u, 2 1 0 0 1 0 1E2g,   3A1u  0A2g,   2A1g  2E2g,0.0008602325267042626,,,7,5
26,1,5011.277856000001,2.0207561794400163e-34,0.00033666,,,4833.946628,,, 1 2 0 0 1 0 1E2u, 0 1 0 1 1 0 0E2g,  12A2u  2E2g,  13A2g  2E2g,0.0007071067811865475,,,75,81
26,1,5015.746144999999,6.199101893305168e-34,0.0015083,,,4968.6138869999995,,, 1 2 0 1 0 1 0A2u, 0 1 0 0 2 0 0A1g,  16A2u  0A1g,  17A2g  0A2g,0.000848528137423857,,,99,105
26,1,5018.033187000001,1.5863334774278231e-44,4.3111999999999997e-05,,,8709.566663,,, 2 3 0 0 0 0 0A2u, 2 1 0 0 0 0 2A1g,   3A1u  0A2g,   2A1g  0A1g,0.0007615773105863909,,,7,5
26,1,5018.467843,9.757239121937116e-45,2.6466e-05,,,8709.132007,,, 2 3 0 0 0 0 0A2u, 0 2 0 0 3 0 0E1g,   3A1u  0A2g,   3A1g  1E1g,0.0007071067811865475,,,7,7
